Year,Author,Title,Publisher(s)
,Charles Stross,Saturn's Children,Ace Books
,John Scalzi,Zoe's Tale,Tor Books
2010,Paolo Bacigalupi*,The Windup Girl,Night Shade Books
,China Miéville*,The City & the City,Del Rey Books
,Cherie Priest,Boneshaker,Tor Books
,Robert J. Sawyer,Wake,Ace Books
,Catherynne M. Valente,Palimpsest,Bantam Spectra
,Robert Charles Wilson,Julian Comstock: A Story of 22nd-Century America,Tor Books
2011,Connie Willis*,Blackout/All Clear,Spectra Books
,Lois McMaster Bujold,Cryoburn,Baen Books
,Ian McDonald,The Dervish House,Gollancz / Pyr
,Mira Grant,Feed,Orbit Books
,N. K. Jemisin,The Hundred Thousand Kingdoms,Orbit Books
2012,Jo Walton*,Among Others,Tor Books
,George R. R. Martin,A Dance with Dragons,Bantam Spectra
,Mira Grant,Deadline,Orbit Books
,China Miéville,Embassytown,Macmillan Publishers / Del Rey Books
,James S. A. Corey,Leviathan Wakes,Orbit Books
2013,John Scalzi*,Redshirts,Tor Books
,Kim Stanley Robinson,2312,Orbit Books
,Mira Grant,Blackout,Orbit Books
,Lois McMaster Bujold,Captain Vorpatril's Alliance,Baen Books
,Saladin Ahmed,Throne of the Crescent Moon,DAW Books
2014,Ann Leckie*,Ancillary Justice,Orbit Books
,Charles Stross,Neptune's Brood,Ace Books
,Mira Grant,Parasite,Orbit Books
,Larry Correia,Warbound,Baen Books
,Robert Jordan,The Wheel of Time[Note 3],Tor Books
,Brandon Sanderson,,
2015,Cixin Liu*,The Three-Body Problem,Tor Books
,Ken Liu (translator)*,,
,Katherine Addison,The Goblin Emperor,Tor Books
,Kevin J. Anderson,The Dark Between the Stars,Tor Books
,Jim Butcher,Skin Game,Roc Books
,Ann Leckie,Ancillary Sword,Orbit Books
2016,N. K. Jemisin*,The Fifth Season,Orbit Books
,Naomi Novik,Uprooted,Del Rey
,Ann Leckie,Ancillary Mercy,Orbit Books
,Neal Stephenson,Seveneves,William Morrow and Company
,Jim Butcher,The Cinder Spires: The Aeronaut's Windlass,Roc Books
2017,N. K. Jemisin*,The Obelisk Gate,Orbit Books
,Charlie Jane Anders,All the Birds in the Sky,Tor Books
,Becky Chambers,A Closed and Common Orbit,Hodder & Stoughton
,Cixin Liu,Death's End,Tor Books
,Yoon Ha Lee,Ninefox Gambit,Solaris Books
,Ada Palmer,Too Like the Lightning,Tor Books
