Year,Author(s),Title,Publisher(s)
,Lois McMaster Bujold,A Civil Campaign,Baen Books
,Kathleen Ann Goonan,Crescent City Rhapsody,Avon Eos
,Nalo Hopkinson,Midnight Robber,Warner Aspect
,Jack McDevitt,Infinity Beach,HarperPrism
,Charles de Lint,Forests of the Heart,Tor Books
2002,Catherine Asaro*,The Quantum Rose,Tor Books
,Jeffrey Carver,Eternity's End,Tor Books
,Geoffrey A. Landis,Mars Crossing,Tor Books
,George R. R. Martin,A Storm of Swords,Bantam Spectra
,Wil McCarthy,The Collapsium,Del Rey Books
,Patricia A. McKillip,The Tower at Stony Wood,Ace Books
,Tim Powers,Declare,Subterranean Press
,Connie Willis,Passage,Bantam Books
2003,Neil Gaiman*,American Gods,William Morrow and Company
,Kelley Eskridge,Solitaire,Eos
,Ursula K. Le Guin,The Other Wind,Harcourt
,Robert A. Metzger,Picoverse,Ace Books
,China Miéville,Perdido Street Station,Del Rey Books
,Michael Swanwick,Bones of the Earth,Eos
2004,Elizabeth Moon*,The Speed of Dark,Ballantine Books
,Lois McMaster Bujold,Diplomatic Immunity,Baen Books
,Carol Emshwiller,The Mount,Small Beer Press
,Kathleen Ann Goonan,Light Music,Eos
,Nalo Hopkinson,The Salt Roads,Warner
,Jack McDevitt,Chindi,Ace Books
2005,Lois McMaster Bujold*,Paladin of Souls,Eos
,Cory Doctorow,Down and Out in the Magic Kingdom,Tor Books
,Jack McDevitt,Omega,Ace Books
,David Mitchell,Cloud Atlas,Random House
,Sean Stewart,Perfect Circle,Small Beer Press
,Gene Wolfe,The Knight,Tor Books
2006,Joe Haldeman*,Camouflage,Analog Science Fiction and Fact
,Susanna Clarke,Jonathan Strange & Mr Norrell,Bloomsbury Publishing
,Jack McDevitt,Polaris,Ace Books
,Terry Pratchett,Going Postal,HarperCollins
,Geoff Ryman,Air,St. Martin's Press
,John C. Wright,Orphans of Chaos,Tor Books
2007,Jack McDevitt*,Seeker,Ace Books
,Ellen Kushner,The Privilege of the Sword,Bantam Spectra
,Jeffrey Ford,The Girl in the Glass,HarperCollins
,Jo Walton,Farthing,Tor Books
,Richard Bowes,From the Files of the Time Rangers,Golden Gryphon Press
,Wil McCarthy,To Crush the Moon,Bantam Spectra
2008,Michael Chabon*,The Yiddish Policemen's Union,HarperCollins
,Jack McDevitt,Odyssey,Ace Books
,Joe Haldeman,The Accidental Time Machine,Ace Books
,Nalo Hopkinson,The New Moon's Arms,Warner
,Tobias S. Buckell,Ragamuffin,Tor Books
2009,Ursula K. Le Guin*,Powers,Harcourt
,Cory Doctorow,Little Brother,Tor Books
,Jack McDevitt,Cauldron,Ace Books
,Ian McDonald,Brasyl,Pyr Books
,Terry Pratchett,Making Money,Harper
,David J. Schwartz,Superpowers,Three Rivers Press
2010,Paolo Bacigalupi*,The Windup Girl,Night Shade Books
,Christopher Barzak,The Love We Share Without Knowing,Bantam Books
,Laura Anne Gilman,Flesh and Fire,Pocket Books
,China Miéville,The City & the City,Del Rey Books
,Cherie Priest,Boneshaker,Tor Books
,Jeff VanderMeer,Finch,Underland Press
2011,Connie Willis*,Blackout/All Clear,Bantam Spectra
,M. K. Hobson,The Native Star,Bantam Spectra
,N. K. Jemisin,The Hundred Thousand Kingdoms,Orbit Books
,Mary Robinette Kowal,Shades of Milk and Honey,Tor Books
,Jack McDevitt,Echo,Ace Books
,Nnedi Okorafor,Who Fears Death,DAW Books
2012,Jo Walton*,Among Others,Tor Books
,China Miéville,Embassytown,Subterranean Press
,Jack McDevitt,Firebird,Ace Books
,Kameron Hurley,God's War,Night Shade Books
,Genevieve Valentine,Mechanique: a Tale of the Circus Tresaulti,Prime Books
,N. K. Jemisin,The Kingdom of Gods,Orbit Books
2013,Kim Stanley Robinson*,2312,Orbit Books
,Saladin Ahmed,Throne of the Crescent Moon,DAW Books
,Tina Connolly,Ironskin,Tor Books
,N. K. Jemisin,The Killing Moon,Orbit Books
,Caitlín R. Kiernan,The Drowning Girl,Roc Books
,Mary Robinette Kowal,Glamour in Glass,Tor Books
2014,Ann Leckie*,Ancillary Justice,Orbit Books
,Karen Joy Fowler,We Are All Completely Beside Ourselves,Marian Wood Books
,Neil Gaiman,The Ocean at the End of the Lane,William Morrow and Company
,Charles E. Gannon,Fire with Fire,Baen Books
,Nicola Griffith,Hild,"Farrar, Straus and Giroux"
,Linda Nagata,The Red: First Light,Mythic Island Press
,Sofia Samatar,A Stranger in Olondria,Small Beer Press
,Helene Wecker,The Golem and the Jinni,Harper
2015,Jeff VanderMeer*,Annihilation,"Farrar, Straus and Giroux"
,Katherine Addison,The Goblin Emperor,Tor Books
,Charles E. Gannon,Trial by Fire,Baen Books
,Ann Leckie,Ancillary Sword,Orbit Books
,Cixin Liu,The Three-Body Problem,Tor Books
,Jack McDevitt,Coming Home,Ace Books
2016,Naomi Novik*,Uprooted,Del Rey Books
,Ann Leckie,Ancillary Mercy,Orbit Books
,Lawrence M. Schoen,Barsk: The Elephants' Graveyard,Tor Books
,N. K. Jemisin,The Fifth Season,Orbit Books
,Ken Liu,The Grace of Kings,Saga Press
,Charles E. Gannon,Raising Caine,Baen Books
,Fran Wilde,Updraft,Tor Books
2017,Charlie Jane Anders*,All the Birds in the Sky,"Tor Books, Titan Books"
,Mishell Baker,Borderline,Saga Press
,N. K. Jemisin,The Obelisk Gate,Orbit Books
,Yoon Ha Lee,Ninefox Gambit,Solaris Books
,Nisi Shawl,Everfair,Tor Books
